statecode,countycode,v051_rawvalue,v051_flag_CT
20,203,2072,
20,205,8398,
20,207,3111,
20,209,169418,
21,000,4588372,
21,001,19239,
21,003,22037,
21,005,24883,
21,007,7626,
21,009,45609,
21,011,12951,
21,013,23051,
21,015,144135,
21,017,20333,
21,019,47777,
21,021,31394,
21,023,8497,
21,025,12804,
21,027,21221,
21,029,85802,
21,031,12551,
21,033,12611,
21,035,38975,
21,037,94008,
21,039,4777,
21,041,11111,
21,043,26098,
21,045,15948,
21,047,71006,
21,049,37673,
21,051,19592,
21,053,9183,
21,055,8982,
21,057,6047,
21,059,104457,
21,061,12635,
21,063,7263,
21,065,14002,
21,067,329437,
21,069,15591,
21,071,34532,
21,073,52442,
21,075,6282,
21,077,8805,
21,079,18040,
21,081,25722,
21,083,36821,
21,085,27070,
21,087,11552,
21,089,35273,
21,091,9013,
21,093,112826,
21,095,25052,
21,097,19525,
21,099,19923,
21,101,44175,
21,103,16198,
21,105,4393,
21,107,45218,
21,109,13358,
21,111,793881,
21,113,56495,
21,115,22098,
21,117,174862,
21,119,13438,
21,121,29657,
21,123,15128,
21,125,63353,
21,127,15798,
21,129,7313,
21,131,9729,
21,133,20139,
21,135,12875,
21,137,24910,
21,139,8815,
21,141,28467,
21,143,9078,
21,145,67550,
21,147,16824,
21,149,9126,
21,151,99582,
21,153,11118,
21,155,19851,
21,157,31734,
21,159,10696,
21,161,16956,
21,163,30442,
21,165,6341,
21,167,23515,
21,169,10558,
21,171,11163,
21,173,28771,
21,175,14300,
21,177,30512,
21,179,48706,
21,181,7816,
21,183,23933,
21,185,70525,
21,187,11435,
21,189,3928,
21,191,14844,
21,193,26739,
21,195,55430,
21,197,12928,
21,199,66842,
21,201,2382,
21,203,16226,
21,205,24675,
21,207,18458,
21,209,61700,
21,211,50124,
21,213,20350,
21,215,20823,
21,217,26809,
21,219,12757,
21,221,14559,
21,223,8591,
21,225,13178,
21,227,147936,
21,229,12269,
21,231,19629,
21,233,12854,
21,235,37233,
21,237,6364,
21,239,27728,
22,000,4597740,
22,001,56604,
22,003,22501,
22,005,133534,
22,007,20050,
22,009,38373,
22,011,36695,
22,013,12412,
22,015,131102,
22,017,224893,
22,019,206861,
22,021,9393,
22,023,4678,
22,025,8280,
22,027,13537,
22,029,17797,
22,031,27274,
22,033,453022,
22,035,6892,
22,037,19112,
22,039,31745,
22,041,19107,
22,043,22109,
22,045,67540,
22,047,29766,
22,049,14797,
22,051,427253,
22,053,31436,
22,055,254241,
22,057,95342,
22,059,14702,
22,061,48243,
22,063,152886,
22,065,9093,
22,067,23787,
22,069,35982,
22,071,362701,
22,073,157874,
22,075,22289,
22,077,19845,
22,079,125899,
22,081,7238,
22,083,19643,
22,085,21746,
22,087,44783,
22,089,50400,
22,091,10857,
22,093,19110,
22,095,39694,
22,097,80869,
22,099,51218,
22,101,46799,
22,103,277615,
22,105,139823,
22,107,3844,
22,109,103864,
22,111,20617,
22,113,57641,
22,115,45819,
22,117,45090,
22,119,35184,
22,121,28425,
22,123,9254,
22,125,15155,
22,127,13405,
23,000,1405012,
23,001,115272,
23,003,66776,
23,005,313809,
23,007,30902,
23,009,56946,
23,011,128461,
23,013,40981,
23,015,36491,
23,017,60039,
23,019,156840,
23,021,17432,
23,023,37582,
23,025,51338,
23,027,40617,
23,029,31383,
23,031,220143,
24,000,6263220,
24,001,67097,
24,003,602350,
24,005,852425,
24,009,94913,
24,011,34248,
24,013,177108,
24,015,106305,
24,017,174478,
24,019,33138,
24,021,299317,
24,023,28393,
24,025,265514,
24,027,339668,
24,029,19557,
24,031,1082273,
24,033,966629,
24,035,53688,
24,037,116469,
24,039,25241,
24,041,38244,
24,043,157228,
24,045,106329,
24,047,54337,
24,510,568271,
25,000,7136171,
25,001,232570,
25,003,128726,
25,005,588593,
25,007,21061,
25,009,823938,
25,011,70871,
25,013,464151,
25,015,165399,
25,017,1668956,
25,019,14670,
25,021,740754,
25,023,542090,
25,025,793144,
25,027,881248,
26,000,10140459,
26,001,10624,
26,003,8695,
26,005,122429,
26,007,28903,
26,009,24536,
26,011,15087,
26,013,8169,
26,015,64025,
26,017,102651,
26,019,18520,
26,021,152703,
26,023,46187,
26,025,133785,
26,027,51550,
26,029,26105,
26,031,25964,
26,033,36253,
26,035,31405,
26,037,80050,
26,039,13599,
26,041,36687,
26,043,25995,
26,045,109494,
26,047,33949,
26,049,402279,
26,051,25995,
26,053,14217,
26,055,96625,
26,057,41372,
26,059,45590,
26,061,38041,
26,063,30780,
26,065,290427,
26,067,66250,
26,069,25361,
26,071,11709,
26,073,65072,
26,075,160233,
26,077,264780,
26,079,18618,
26,081,673002,
26,083,2161,
26,085,13005,
26,087,89168,
26,089,22871,
26,091,97746,
26,093,196976,
26,095,6328,
26,097,11144,
26,099,886175,
26,101,25519,
26,103,67979,
26,105,29093,
26,107,41947,
26,109,23050,
26,111,84022,
26,113,15239,
26,115,156045,
26,117,69314,
26,119,9828,
26,121,177428,
26,123,51504,
26,125,1296888,
26,127,27014,
26,129,20985,
26,131,5824,
26,133,23484,
26,135,8596,
26,137,26083,
26,139,306235,
26,141,13230,
26,143,23932,
26,145,187714,
26,147,160308,
26,149,61171,
26,151,40293,
26,153,8178,
26,155,67982,
26,157,52757,
26,159,76129,
26,161,373875,
26,163,1771063,
26,165,34460,
27,000,5793151,
27,001,16335,
27,003,376840,
27,005,35444,
27,007,46762,
27,009,41881,
27,011,5067,
27,013,70700,
27,015,25710,
27,017,36745,
27,019,112628,
27,021,31442,
27,023,12299,
27,025,59105,
27,027,66848,
27,029,8630,
27,031,5571,
27,033,11338,
27,035,68642,
27,037,453156,
27,039,21242,
27,041,39933,
27,043,13886,
27,045,21502,
27,047,30314,
27,049,47982,
27,051,6109,
27,053,1273334,
27,055,18352,
27,057,22050,
27,059,43687,
27,061,45442,
27,063,9861,
27,065,16608,
27,067,44674,
27,069,3992,
27,071,11594,
27,073,6636,
27,075,10698,
27,077,3797,
27,079,29458,
27,081,5564,
27,083,25577,
27,085,36780,
27,087,5296,
27,089,8771,
27,091,19561,
27,093,23491,
27,095,27577,
27,097,34520,
27,099,40900,
27,101,8044,
27,103,34493,
27,105,21969,
27,107,6284,
27,109,166424,
27,111,60884,
27,113,13652,
27,115,30319,
27,117,9100,
27,119,30413,
27,121,11495,
27,123,542015,
27,125,3882,
27,127,15254,
27,129,14453,
27,131,69025,
27,133,9525,
27,135,15265,
27,137,200794,
27,139,157206,
27,141,103059,
27,143,15194,
27,145,163997,
27,147,37434,
27,149,9819,
27,151,9666,
27,153,25955,
27,155,3134,
27,157,21574,
27,159,14437,
27,161,18684,
27,163,283960,
27,165,11204,
27,167,6268,
27,169,49973,
27,171,154593,
27,173,9373,
28,000,2943045,
28,001,28674,
28,003,34228,
28,005,12451,
28,007,17222,
28,009,7566,
28,011,28395,
28,013,12754,
28,015,9378,
28,017,16774,
28,019,8091,
28,021,8122,
28,023,15155,
28,025,18213,
28,027,20105,
28,029,27536,
28,031,18015,
28,033,195871,
28,035,78435,
28,037,7516,
28,039,25880,
28,041,13675,
28,043,20931,
28,045,46492,
28,047,213730,
28,049,211975,
28,051,15560,
28,053,7121,
28,055,1295,
28,057,24198,
28,059,147002,
28,061,15799,
28,063,6900,
28,065,11059,
28,067,65837,
28,069,8562,
28,071,59843,
28,073,66734,
28,075,70588,
28,077,11672,
28,079,21462,
28,081,83012,
28,083,26157,
28,085,34956,
28,087,57210,
28,089,114247,
28,091,24008,
28,093,34374,
28,095,33483,
28,097,9411,
28,099,28973,
28,101,21063,
28,103,9825,
28,105,51965,
28,107,32764,
28,109,59030,
28,111,11406,
28,113,38980,
28,115,32014,
28,117,25489,
28,119,5542,
28,121,160573,
28,123,27666,
28,125,3234,
28,127,25597,
28,129,14051,
28,131,19569,
28,133,23029,
28,135,10921,
28,137,28551,
28,139,21423,
28,141,18553,
28,143,9157,
28,145,28363,
28,147,13839,
28,149,42105,
28,151,41181,
28,153,19749,
28,155,10039,
28,157,7820,
28,159,17418,
28,161,12458,
28,163,23024,
29,000,6245466,
29,001,25660,
29,003,18091,
29,005,5139,
29,007,24304,
29,009,35618,
29,011,11717,
29,013,16394,
29,015,20614,
29,017,10610,
29,019,192154,
29,021,83574,
29,023,41814,
29,025,9000,
29,027,45126,
29,029,44135,
29,031,83658,
29,033,8414,
29,035,5359,
29,037,113873,
29,039,15023,
29,041,7397,
29,043,96045,
29,045,6623,
29,047,263370,
29,049,21721,
29,051,77625,
29,053,17122,
29,055,22808,
29,057,7622,
29,059,17877,
29,061,8541,
29,063,9884,
29,065,14721,
29,067,12290,
29,069,27002,
29,071,107256,
29,073,14655,
29,075,6298,
29,077,307942,
29,079,9766,
29,081,8186,
29,083,22575,
29,085,8766,
29,087,4241,
29,089,10150,
29,091,40762,
29,093,9420,
29,095,727362,
29,097,126479,
29,099,231888,
29,101,55880,
29,103,3740,
29,105,36738,
29,107,33511,
29,109,39151,
29,111,9852,
29,113,65888,
29,115,11910,
29,117,14658,
29,119,24054,
29,121,15177,
29,123,12852,
29,125,8506,
29,127,28425,
29,129,3452,
29,131,25668,
29,133,11750,
29,135,15294,
29,137,8890,
29,139,11511,
29,141,22399,
29,143,15212,
29,145,61519,
29,147,20503,
29,149,8699,
29,151,13478,
29,153,9090,
29,155,14407,
29,157,19100,
29,159,43791,
29,161,45672,
29,163,17961,
29,165,113207,
29,167,33070,
29,169,53964,
29,171,4539,
29,173,10499,
29,175,24077,
29,177,23199,
29,179,5927,
29,181,10715,
29,183,423726,
29,185,9848,
29,186,18546,
29,187,67503,
29,189,992929,
