statecode,countycode,v168_flag_CT,v168_numerator,v168_denominator,v168_rawvalue,v168_cilow,v168_cihigh
05,097,,5725,6437,0.8893894671430791,0.8605665725729851,0.9182123617131731
05,099,,4983,5556,0.8968682505399568,0.8652243286163918,0.9285121724635218
05,101,,4312,5173,0.8335588633288228,0.7885156975136323,0.8786020291440133
05,103,,13800,15565,0.8866045615162222,0.8668216884661499,0.9063874345662946
05,105,,6373,7238,0.880491848576955,0.8498719905931565,0.9111117065607534
05,107,,8234,10188,0.8082057322340008,0.7709828713775905,0.8454285930904112
05,109,,6161,7048,0.8741486946651532,0.8435840460077862,0.9047133433225202
05,111,,12502,15389,0.8123984664370655,0.7854919124241461,0.8393050204499849
05,113,,11674,13532,0.8626958321016849,0.8379912903769684,0.8874003738264014
05,115,,36543,41919,0.8717526658555786,0.8536895380095156,0.8898157937016417
05,117,,5072,5803,0.8740306737894192,0.8370159212070073,0.9110454263718312
05,119,,250377,271489,0.9222362600326348,0.9167234567592419,0.9277490633060277
05,121,,10887,12860,0.8465785381026438,0.8224339022653838,0.8707231739399038
05,123,,13684,15925,0.8592778649921508,0.834890849054612,0.8836648809296895
05,125,,82634,88552,0.9331692113108682,0.9253098997583526,0.9410285228633837
05,127,,5764,6838,0.8429365311494589,0.79943203979038,0.8864410225085377
05,129,,4786,5771,0.8293190088372899,0.7877016404571343,0.8709363772174455
05,131,,74221,86709,0.8559780414951158,0.8406326398032266,0.871323443187005
05,133,,7096,9660,0.734575569358178,0.6804422641166024,0.7887088745997537
05,135,,11117,12894,0.8621839615324958,0.837313847756996,0.8870540753079955
05,137,,8057,9273,0.8688666019626874,0.8217197820435073,0.9160134218818675
05,139,,22934,25911,0.8851067114352977,0.8652074428552315,0.9050059800153639
05,141,,10431,11950,0.8728870292887029,0.8313810705183196,0.9143929880590862
05,143,,139038,158346,0.8780644916827707,0.8702936371920916,0.8858353461734497
05,145,,44818,51455,0.8710135069478184,0.8547813842024521,0.8872456296931848
05,147,,3539,4263,0.8301665493783721,0.7851877864459091,0.875145312310835
05,149,,11374,13737,0.8279828201208416,0.7968138870876479,0.8591517531540352
06,000,,22936996,27073960,0.8471976762911668,0.8460992238292658,0.8482961287530678
06,001,,1058892,1192437,0.8880066619871742,,
06,003,,1071,1112,0.9631294964028777,0.9296555213717915,0.9966034714339639
06,005,,29807,32875,0.9066768060836502,0.8932079719987236,0.9201456401685768
06,007,,122458,135188,0.9058348374116045,0.8979525718588225,0.9137171029643866
06,009,,33198,35917,0.9242976863323774,0.9107115044011508,0.937883868263604
06,011,,10439,14077,0.7415642537472473,0.6986495425027165,0.7844789649917782
06,013,,731246,816152,0.8959679079387173,0.8920197083882051,0.8999161074892295
06,015,,17017,19816,0.858750504642713,0.8360158151921135,0.8814851940933124
06,017,,135543,142436,0.9516063354769861,0.94581624650947,0.9573964244445022
06,019,,503235,636203,0.7909975275187322,0.7856551557185842,0.7963398993188802
06,021,,14369,18378,0.7818587441506148,0.7564077677374114,0.8073097205638183
06,023,,85533,93031,0.9194032096827939,0.9106188849518654,0.9281875344137224
06,025,,79682,111419,0.7151563018874698,0.6986033784911811,0.7317092252837585
06,027,,12809,13770,0.9302106027596224,0.9151735492999853,0.9452476562192595
06,029,,433910,563569,0.7699323419137675,0.7636580552853183,0.7762066285422167
06,031,,73002,96271,0.7582968910679229,0.7436412486014061,0.7729525335344396
06,033,,42822,48884,0.8759921446690123,0.8593458671958789,0.8926384221421457
06,035,,17212,22345,0.7702841799060193,0.7506498208997809,0.7899185389122576
06,037,,5593822,6917487,0.8086494416252608,,
06,039,,74210,101462,0.7314068321144862,0.7168559525472146,0.7459577116817578
06,041,,176004,189753,0.9275426475470744,0.9205097557624186,0.9345755393317302
06,043,,12043,13344,0.9025029976019184,0.8743518379184116,0.9306541572854252
06,045,,56842,65093,0.8732428986219717,0.858834456189135,0.8876513410548084
06,047,,125865,174127,0.72283448287744,0.7106519530056451,0.7350170127492349
06,049,,5559,6415,0.8665627435697584,0.8045921804934467,0.92853330664607
06,051,,9069,10217,0.887638249975531,0.8376880220358138,0.9375884779152481
06,053,,206159,281390,0.7326450833362949,0.7244629002702222,0.7408272664023675
06,055,,82961,97520,0.8507075471698113,0.8388035753753212,0.8626115189643014
06,057,,75385,79518,0.9480243466888,0.9386446782933401,0.9574040150842599
06,059,,1930844,2217917,0.8705663917991521,,
06,061,,282945,297631,0.950657021614012,0.9462886057345098,0.9550254374935142
06,063,,14217,15180,0.9365612648221344,0.9152046038374746,0.9579179258067942
06,065,,1377536,1649835,0.834953798410144,,
06,067,,968924,1097404,0.8829236999318392,,
06,069,,37005,44349,0.8344043834133802,0.8190193548694161,0.8497894119573443
06,071,,1172655,1421562,0.8249059836996205,,
06,073,,2033091,2281385,0.8911652351532073,,
06,075,,588821,661758,0.8897829720230054,0.8857535260783265,0.8938124179676843
06,077,,415473,513773,0.8086703660955324,0.8026203311015772,0.8147204010894877
06,079,,175497,190352,0.9219603681600403,0.9154229351930772,0.9284978011270035
06,081,,489863,542805,0.9024658947504168,0.8978825850174653,0.9070492044833683
06,083,,227962,278364,0.8189349197453694,0.8118219655027857,0.826047873987953
06,085,,1202486,1347266,0.8925379249532015,,
06,087,,158482,178903,0.8858543456509952,0.8775655836400147,0.8941431076619757
06,089,,118713,128897,0.9209911790033903,0.9137545572477371,0.9282278007590435
06,091,,1939,2096,0.9250954198473282,0.8766705816658473,0.9735202580288091
06,093,,29483,32155,0.9169025034986783,0.9046951199917921,0.9291098870055645
06,095,,279602,315641,0.8858228176947862,0.879298628837228,0.8923470065523444
06,097,,314707,354661,0.8873459444370821,0.8814153475369431,0.8932765413372212
06,099,,283008,354367,0.7986296692412104,0.7913823504203656,0.8058769880620551
06,101,,52267,65188,0.8017886727618581,0.7846516944775241,0.818925651046192
06,103,,38904,44633,0.8716420585665315,0.8558998719135156,0.8873842452195475
06,105,,11485,12461,0.9216756279592329,0.8904424340415292,0.9529088218769365
06,107,,215131,287690,0.7477875490979874,0.739400537114346,0.7561745610816288
06,109,,38892,41675,0.9332213557288542,0.9197024013140315,0.946740310143677
06,111,,494554,580810,0.8514901602933834,0.847067842452762,0.8559124781340048
06,113,,116262,131208,0.8860892628498263,0.8771110791263477,0.8950674465733048
06,115,,46084,53788,0.8567710269948687,0.838865469081422,0.8746765849083155
08,000,,3804007,4095727,0.9287745496709131,0.9273087483815885,0.9302403509602377
08,001,,298175,349914,0.8521379538972433,0.8453639045470899,0.8589120032473968
08,003,,9042,10209,0.885689097854834,0.836595079696261,0.9347831160134069
