statecode,countycode,v136_numerator,v136_denominator,v136_rawvalue,v136_flag_CT,v136_cilow,v136_cihigh
08,059,32335,238370,0.13565045936988715,,0.1288495967817351,0.1424513219580392
08,061,105,550,0.19090909090909092,,0.09236105823015983,0.289457123588022
08,063,320,2980,0.10738255033557047,,0.07095207950658983,0.1438130211645511
08,065,310,2835,0.10934744268077601,,0.05873931270620812,0.15995557265534388
08,067,2960,22690,0.13045394446892905,,0.11113137221596221,0.14977651672189587
08,069,25145,148850,0.16892845146120256,,0.1577093046684357,0.18014759825396942
08,071,1085,6630,0.1636500754147813,,0.12851449272632934,0.19878565810323326
08,073,245,1920,0.12760416666666666,,0.07891765240155998,0.17629068093177333
08,075,1050,7985,0.13149655604257984,,0.10124282063593362,0.16175029144922606
08,077,10210,63100,0.1618066561014263,,0.14612211123372065,0.17749120096913196
08,079,60,420,0.14285714285714285,,0.02886425811324933,0.25685002760103637
08,081,850,5185,0.16393442622950818,,0.1184842520371105,0.20938460042190588
08,083,1445,10520,0.1373574144486692,,0.10519355524286318,0.16952127365447522
08,085,2115,17040,0.12411971830985916,,0.10334291655947504,0.14489652006024328
08,087,1870,10870,0.17203311867525298,,0.13983606312446067,0.20423017422604528
08,089,1165,7595,0.1533903884134299,,0.11814952498648329,0.1886312518403765
08,091,390,2435,0.1601642710472279,,0.11168553963687775,0.20864300245757808
08,093,830,7690,0.10793237971391417,,0.07799843845553113,0.13786632097229723
08,095,150,1760,0.08522727272727272,,0.031176356751314444,0.139278188703231
08,097,1605,8115,0.1977818853974122,,0.13714688824124596,0.2584168825535785
08,099,680,4505,0.1509433962264151,,0.10170256743752476,0.20018422501530542
08,101,11465,67090,0.1708898494559547,,0.15710788763816866,0.18467181127374074
08,103,305,2515,0.12127236580516898,,0.070967551544599,0.17157718006573897
08,105,450,4655,0.0966702470461869,,0.058922560448848055,0.13441793364352575
08,107,1800,10280,0.17509727626459143,,0.14353349958575232,0.20666105294343054
08,109,585,3070,0.19055374592833876,,0.12871383414871046,0.25239365770796707
08,111,50,335,0.14925373134328357,,0.03496161474334861,0.26354584794321856
08,113,955,3850,0.24805194805194805,,0.19839129679511044,0.2977125993087857
08,115,165,1050,0.15714285714285714,,0.09949891903638741,0.21478679524932687
08,117,1750,11750,0.14893617021276595,,0.10963228488685803,0.18824005553867387
08,119,1530,11040,0.13858695652173914,,0.10962294507581186,0.16755096796766641
08,121,270,2030,0.1330049261083744,,0.09461554022561003,0.17139431199113875
08,123,18150,115535,0.1570952525208811,,0.1466534446065098,0.1675370604352524
08,125,690,3955,0.17446270543615677,,0.12645898644740755,0.222466424424906
09,000,245855,1409805,0.17438936590521384,,0.17115457980019202,0.17762415201023565
09,001,,,,U,,
09,003,,,,U,,
09,005,,,,U,,
09,007,,,,U,,
09,009,,,,U,,
09,011,,,,U,,
09,013,,,,U,,
09,015,,,,U,,
09,110,62835,386550,0.16255335661622042,A,0.15640866695661168,0.16869804627582916
09,120,26405,117495,0.2247329673603132,A,0.2122925285679666,0.2371734061526598
09,130,9735,73085,0.1332010672504618,A,0.11916999181942424,0.14723214268149934
09,140,30195,177655,0.16996425656469,A,0.15997579006958398,0.179952723059796
09,150,4520,38575,0.11717433570965652,A,0.10127846930558465,0.1330702021137284
09,160,6935,45975,0.15084284937466014,A,0.1343946825093443,0.16729101623997597
09,170,42965,226155,0.1899803232296434,A,0.18108970367333177,0.19887094278595502
09,180,16050,113810,0.14102451454178017,A,0.13032800904671432,0.151721020036846
09,190,46215,230505,0.20049456627838874,A,0.1920051591501679,0.2089839734066096
10,000,55130,389000,0.14172236503856042,,0.13593925394427928,0.14750547613284157
10,001,10025,68705,0.14591368896004658,,0.13010551124024503,0.16172186667984814
10,003,32030,220435,0.1453036042370767,,0.1381838044233721,0.15242340405078128
10,005,13080,99860,0.1309833767274184,,0.11984465317395925,0.14212210028087752
11,000,61430,315785,0.1945310891904302,,0.18773273141545546,0.20132944696540492
11,001,61430,315785,0.1945310891904302,,0.18773273141545546,0.20132944696540492
12,000,1608455,8353440,0.1925500153230286,,0.1909976287700608,0.1941024018759964
12,001,23175,108595,0.21340761545190848,,0.19834029404647105,0.2284749368573459
12,003,1055,9005,0.11715713492504164,,0.0705933491324427,0.16372092071764058
12,005,11520,74680,0.1542581681842528,,0.14224773551832692,0.1662686008501787
12,007,1650,9065,0.18201875344732488,,0.14114841980412365,0.2228890870905261
12,009,36380,246650,0.14749645246300425,,0.139829396685016,0.15516350824099248
12,011,186800,741975,0.25176050406010986,,0.24582080369280854,0.25770020442741115
12,013,600,4450,0.1348314606741573,,0.08744345207973125,0.18221946926858335
12,015,12470,84670,0.14727766623361285,,0.13507835052127487,0.15947698194595084
12,017,8585,67550,0.12709104367135454,,0.11191900965807293,0.14226307768463614
12,019,9265,79705,0.11624113920080296,,0.10011565677913543,0.13236662162247048
12,021,32955,156770,0.21021241308923902,,0.19798790781601436,0.22243691836246368
12,023,3645,26390,0.1381205001894657,,0.11639199954533011,0.1598490008336013
12,027,1930,12340,0.15640194489465153,,0.12621365709868387,0.1865902326906192
12,029,965,6165,0.15652879156528793,,0.10534432739051823,0.2077132557400576
12,031,68255,396130,0.1723045464872643,,0.16553571487683588,0.1790733780976927
12,033,18900,126535,0.14936578812186352,,0.1387222544068012,0.16000932183692584
12,035,6515,47550,0.1370136698212408,,0.12027355511404797,0.15375378452843363
12,037,655,4760,0.13760504201680673,,0.09314787858280996,0.1820622054508035
12,039,2255,15885,0.1419578218445074,,0.11526975551243764,0.16864588817657716
12,041,745,6870,0.10844250363901019,,0.0779489478997615,0.13893605937825887
12,043,785,4635,0.16936353829557713,,0.11425379665570155,0.22447327993545269
12,045,910,5650,0.16106194690265488,,0.11583023281110162,0.20629366099420815
12,047,600,4300,0.13953488372093023,,0.09658437322242225,0.1824853942194382
12,049,1480,8125,0.18215384615384617,,0.14425994581158977,0.22004774649610256
12,051,2400,13290,0.18058690744920994,,0.13871857873151722,0.22245523616690266
12,053,10465,79170,0.13218390804597702,,0.11948934589916275,0.14487847019279126
12,055,5430,44685,0.12151728768042967,,0.10529249911970003,0.1377420762411593
12,057,105255,559970,0.18796542671928854,,0.18180949611851047,0.1941213573200666
12,059,855,7070,0.12093352192362093,,0.08467319439935475,0.1571938494478871
12,061,9715,65735,0.1477903704267133,,0.1330703497738736,0.162510391079553
12,063,1925,16880,0.11404028436018958,,0.09015886586150265,0.1379217028588765
