statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
06,037,4194,48914252,8.058055407506698,8.574188152769871,7.810522794945565,8.30558802006783,,
06,039,92,805717,11.45833476612732,11.41840125006671,9.213854270679152,14.084238771436077,,
06,041,177,1284363,12.083440927544943,13.781150656006128,10.137769305564635,14.029112549525252,,
06,043,30,85294,38.07045007139776,35.17246230684456,24.637187980352625,56.199494383166964,,
06,045,109,445432,21.280036688820392,24.470626268431545,16.966085630467283,25.5939877471735,,
06,047,150,1444421,10.615184223793353,10.384783937646988,8.892030462215182,12.338337985371524,,
06,049,10,42926,28.438940459821886,23.29590457997484,13.004094498477244,53.98596756918547,,
06,051,13,66816,17.317158893137773,19.456417624521073,8.94802869888147,30.24959157760844,,
06,053,237,2168063,10.806686790026085,10.931416660862716,9.411814361112782,12.201559218939387,,
06,055,76,672415,10.1266953485015,11.302543815946997,7.879173435778273,12.815981085980148,,
06,057,103,509618,18.613442649068208,20.21121702922581,14.654055372640702,22.572829925495714,,
06,059,1611,15792040,9.471256213771458,10.201341941889712,8.998570183566104,9.943942243976812,,
06,061,265,2090405,11.338910471266074,12.676969295423614,9.910990582866233,12.766830359665914,,
06,063,29,96198,22.26293476521743,30.14615688475852,13.781107509045611,34.031260679421656,,
06,065,1335,12443860,10.3003746811795,10.728182412852604,9.740410575762285,10.860338786596715,,
06,067,938,7927755,11.264482145182821,11.831848991297031,10.532917637806792,11.996046652558851,,
06,069,21,335645,6.322256927068129,6.256610406828643,3.9135766838727157,9.664241297759268,,
06,071,1201,10987441,10.870011570700067,10.93066165269966,10.247191274978283,11.49283186642185,,
06,073,1875,16463476,10.69310277111324,11.388846438018314,10.202106612485405,11.184098929741076,,
06,075,406,4126758,8.685406439550615,9.838231367092522,7.799910309683183,9.570902569418047,,
06,077,440,3967679,11.014264330726649,11.089606795307786,9.975967830035092,12.052560831418205,,
06,079,233,1410903,14.448219941183302,16.514246549904566,12.461903325356545,16.43453655701006,,
06,081,339,3694623,8.243046905917774,9.17549639029476,7.3410073332576875,9.145086478577861,,
06,083,235,2220835,10.291204710554139,10.581605567275371,8.92799848976187,11.654410931346407,,
06,085,828,9467475,8.172010559217654,8.74573209857961,7.60777952231407,8.736241596121237,,
06,087,179,1326040,12.201205329866045,13.498838647401284,10.33508391942986,14.067326740302232,,
06,089,232,903583,23.514995501769068,25.675560518513517,20.33408142648498,26.695909577053158,,
06,091,,,,,,,,
06,093,68,216426,28.604165080495704,31.419515215362296,21.54857173378541,37.23225261227145,,
06,095,281,2251717,12.128194082191758,12.479365746228323,10.677840054282196,13.57854811010132,,
06,097,368,2425543,13.794259893103902,15.17186048649725,12.319445973089891,15.269073813117913,,
06,099,284,2762757,10.360203645417448,10.27958665926826,9.140871010108949,11.579536280725947,,
06,101,57,490444,11.14922584214563,11.622121995579516,8.399122720749087,14.512249940449482,,
06,103,78,324584,23.586097675638964,24.030759371996155,18.420937967729678,29.750652883120537,,
06,105,21,75369,28.27897182411577,27.862914460852608,16.163875795455713,45.923278560468376,,
06,107,227,2386292,10.131519479596177,9.512666513570007,8.79836497522614,11.464673983966215,,
06,109,67,272953,22.8294791107628,24.54635047059384,17.29082453578154,29.57823816844641,,
06,111,470,4178793,10.406637767508487,11.24726685432851,9.440856170838046,11.372419364178928,,
06,113,99,1104624,9.071745389494883,8.962325642028418,7.322069342755689,11.113500983917183,,
06,115,56,421082,13.92338600002446,13.299072389700818,10.459676087019524,18.166998488146394,,
08,000,6578,29294817,21.375655186827025,22.45448401333246,20.851487284921962,21.899823088732088,,
08,001,520,2645936,19.34973272804878,19.65278071729626,17.665054953241473,21.03441050285609,,
08,003,22,82663,29.58297622889452,26.614083689195894,18.312328547307516,45.22072163152257,,
08,005,611,3291139,18.159415699135668,18.565001356673175,16.703868040930317,19.61496335734102,,
08,007,25,70290,38.28678175891032,35.56693697538768,23.70012135234123,58.52541295001536,,
08,009,,,,,,,,
08,011,,,,,,,,
08,013,329,1641275,18.217279295866554,20.04539154011363,16.197179549446204,20.237379042286904,,
08,014,52,378865,12.76265920749031,13.725205548150397,9.472691660855133,16.825975086300076,,
08,015,41,102355,33.12778256332821,40.056665526842856,23.074714359696195,46.072726132025096,,
08,017,,,,,,,,
08,019,,,,,,,,
08,021,,,,,,,,
08,023,,,,,,,,
08,025,13,28558,46.397130103690515,45.521395055676166,23.97407416975747,81.04644905498665,,
08,027,11,26650,21.390200663189933,41.27579737335835,9.780961817424004,40.60526379077955,,
08,029,50,158291,30.244689800848338,31.58739283976979,21.797712123326402,40.88203436884834,,
08,031,772,3605849,20.045122435396507,21.409659694568465,18.583441122832994,21.50680374796002,,
08,033,,,,,,,,
08,035,292,1883629,14.901135048222763,15.5019911033436,13.16422151844441,16.638048578001115,,
08,037,65,274652,21.858323501785232,23.666312278811006,16.758651291137305,28.021384240496147,,
08,039,42,140428,29.684850984465292,29.90856524339875,21.006767309255732,40.74477723738405,,
08,041,1045,3703731,27.48722252786989,28.21479205698254,25.79358038599464,29.180864669745137,,
08,043,103,247560,38.079085433355125,41.60607529487801,30.326255060214017,45.831915806496234,,
08,045,80,310672,24.42568606211571,25.750630890456815,19.27636946514039,30.52791666922374,,
08,047,,,,,,,,
